code	description	price	
13401	ABRAZADERA CREMALL.    8 a  16 mm	$ 692,85	
13402	ABRAZADERA CREMALL.  12 a  22 mm	$ 698,47	
13403	ABRAZADERA CREMALL.  16 a  27 mm	$ 718,75	
13404	ABRAZADERA CREMALL.  23 a  35 mm	$ 758,19	
13405	ABRAZADERA CREMALL.  30 a  45 mm	$ 785,23	
13406	ABRAZADERA CREMALL.  32 a  50 mm	$ 846,06	
13407	ABRAZADERA CREMALL.  40 a  60 mm	$ 889,98	
13408	ABRAZADERA CREMALL.  50 a  70 mm	$ 962,08	
13400	ABRAZADERA CREMALL.  60 a  80 mm	$ 988,01	
701	ACEITE DE LINO  D.C.  ENV.PVC. x 950 cc	$ 2.510,08	
703	ACEITE DE LINO  D.C. A GRANEL x Lt. s/e	$ 2.330,63	
702	ACEITE DE LINO  D.C. BIDON x 5 Lts.	$ 12.377,95	
704	ACEITE DE LINO  D.C. x TAMBOR 200 Lts	$ 2.260,00	
751	ACEITE DE LINO CRUDO  ENV. P.V.C. 950 cc	$ 5.176,39	
752	ACEITE DE LINO CRUDO A GRANEL x Lt. s/e	$ 4.467,24	
500249	ACEITE LUBRICANTE AEROSOL x 250 cc JARAMA Cod 2110	$ 3.633,59	
500240	ACEITE LUBRICANTE AEROSOL x 440 cc JARAMA Cod 2120	$ 4.461,50	
201	ACEITERAS P/MAQ. ENV. x  110 cc.	$ 1.893,90	
200029	AEROSOL alta temp. aluminio x 250 cc	$ 6.086,64	
200051	AEROSOL alta temp. blanco x 250 cc.	$ 6.086,64	
200030	AEROSOL alta temp. negro x 250 cc.	$ 6.086,64	
200056	AEROSOL alta temp. negro x 440 cc.	$ 8.887,67	
200001	AEROSOL amarillo x 250 cc.	$ 4.597,49	
200003	AEROSOL azul  x 250 cc.	$ 4.597,49	
200048	AEROSOL azul traful x 250 cc.	$ 4.597,49	
200023	AEROSOL barniz transpare x 250 cc.	$ 4.231,09	
200055	AEROSOL barniz transpare x 440 cc.	$ 5.820,71	
200005	AEROSOL bermellón x 250 cc.	$ 4.597,49	
200007	AEROSOL blanco mate x 250 cc.	$ 4.538,39	
200063	AEROSOL blanco mate x 440	$ 6.476,64	
200008	AEROSOL blanco satinado x 250 cc.	$ 4.769,40	
200065	AEROSOL blanco satinado x 440	$ 6.752,40	
200006	AEROSOL blanco x 250 cc.	$ 4.597,49	
200009	AEROSOL celeste x 250 cc.	$ 4.597,49	
200027	AEROSOL cobre x 250 cc.	$ 5.862,08	
200069	AEROSOL cobre x 440 cc.	$ 8.391,27	
200028	AEROSOL convertidor de óxido x 250	$ 5.233,43	
200054	AEROSOL convertidor de óxido x 440	$ 7.628,64	
200052	AEROSOL efecto esmerilado x 250 cc.	$ 6.122,08	
200031	AEROSOL fluor amarillo x 250 cc.	$ 7.043,72	
200033	AEROSOL fluor fucsia x 250 cc.	$ 7.043,72	
200034	AEROSOL fluor naranja x 250 cc.	$ 7.043,72	
200035	AEROSOL fluor rojo x 250 cc.	$ 7.043,72	
200036	AEROSOL fluor verde x 250 cc.	$ 7.043,72	
200011	AEROSOL gris espacial x 250 cc.	$ 4.597,49	
200013	AEROSOL marfil seda x 250 cc.	$ 4.597,49	
200014	AEROSOL marrón x 250 cc.	$ 4.597,49	
200059	AEROSOL METALIZADO cobre x 250 cc.	$ 6.915,33	
200062	AEROSOL METALIZADO cobre x 440 cc.	$ 10.136,50	
200058	AEROSOL METALIZADO oro x 250 cc.	$ 6.915,33	
200061	AEROSOL METALIZADO oro x 440 cc.	$ 10.136,50	
200057	AEROSOL METALIZADO plata x 250 cc.	$ 6.915,33	
200060	AEROSOL METALIZADO plata x 440 cc.	$ 10.136,50	
200015	AEROSOL naranja x 250 cc.	$ 4.597,49	
200017	AEROSOL negro mate x 250 cc.	$ 4.597,49	
200064	AEROSOL negro mate x 440	$ 6.476,64	
200046	AEROSOL negro satinado x 250 cc.	$ 5.058,40	
200066	AEROSOL negro satinado x 440 cc	$ 7.173,95	
200016	AEROSOL negro x 250 cc.	$ 4.597,49	
200026	AEROSOL oro x 250 cc.	$ 5.862,08	
200068	AEROSOL oro x 440 cc.	$ 8.391,27	
200025	AEROSOL plata x 250 cc.	$ 5.862,08	
200067	AEROSOL plata x 440 cc.	$ 8.391,27	
301000	AEROSOL VARIOS x 440 cc.	$ 6.483,74	
200018	AEROSOL verde ingles x 250 cc.	$ 4.597,49	
200021	AEROSOL violeta x 250 cc.	$ 4.597,49	
500241	"AFLOJATUERCAS AEROSOL x 440 cc ""JARAMA"""	$ 2.721,27	
652	AGUARRAS a granel s/e	$ 2.641,34	
654	AGUARRAS ENV. x 500 cc.	$ 1.810,04	
651	AGUARRAS ENV. x 950 cc.	$ 2.994,59	
653	AGUARRAS x TAMBOR 200 Lts.	$ 2.561,30	
9880	ALAMBRE GALVANIZADO Nº 13,14,16, 17	$ 6.971,94	
11752	ALAMBRE GALVANIZADO Nº 14 x 1 kg.	$ 7.606,82	
9881	ALAMBRE GALVANIZADO Nº 21 el kg	$ 14.392,69	
11750	ALAMBRE NEGRO Nº14 x 1Kg.	$ 5.315,07	
11751	ALAMBRE NEGRO Nº17 x 1Kg.	$ 5.573,82	
700114	"ALFOMBRA BAÑO "" Danfort"" con dibujos"	$ 6.575,13	
700113	"ALFOMBRA BAÑO ""Danfort c/rulos"" 36 x 50"	$ 5.364,80	
700012	"ALFOMBRA BAÑO MULTIVENTOSINA ""Nazar"""	$ 8.761,89	
700115	ALFOMBRA DE BAÑO ESPONJADA 65 x 40	$ 6.905,56	
13451	"ALICATE C.OBLIC/CROM.  5"""	$ 17.324,90	
13452	"ALICATE C.OBLIC/CROM.  6"""	$ 13.867,13	
13453	"ALICATE C.OBLIC/CROM.  8"" y 7"""	$ 17.286,67	
170079	"ALICATE INDUSTRIAL DE 9 1/2"" BV"	$ 21.608,33	
13454	"ALICATE M.CAÑA CROMADO  6"""	$ 11.899,05	
13455	"ALICATE M.CAÑA CROMADO  8"""	$ 14.828,79	
